P,1.756
w,19389.69590096
x,19129.72000000
c,19465.64000000
Q,0.15068000
b,19465.65000000
B,0.01204000
a,19466.41000000
A,0.03277000
o,19129.71000000
h,19676.96000000
l,19101.00000000
v,240274.11250000
q,4658841974.24698080
O,1665945104114
C,1666031504114
F,1978187875
L,1983668900
n,5481026
,0
e,24hrTicker
E,1666031505254
s,BTCUSDT
p,336.91000000
P,1.761
w,19389.69800797
x,19130.14000000
c,19467.04000000
Q,0.02163000
b,19466.36000000
B,0.10000000
a,19467.04000000
A,0.00056000
o,19130.13000000
h,19676.96000000
l,19101.00000000
v,240276.73822000
q,4658893392.42693720
O,1665945105208
C,1666031505208
F,1978187929
L,1983668967
n,5481039
,0
e,24hrTicker
E,1666031506266
s,BTCUSDT
p,336.91000000
P,1.761
w,19389.69836130
x,19130.08000000
c,19466.73000000
Q,0.00327000
b,19465.94000000
B,0.01298000
a,19466.64000000
A,0.06119000
o,19129.82000000
h,19676.96000000
l,19101.00000000
v,240277.21082000
q,4658902640.89488910
O,1665945106265
C,1666031506265
F,1978187945
L,1983669002
n,5481058
,0
e,24hrTicker
E,1666031507265
s,BTCUSDT
p,335.24000000
P,1.752
w,19389.70047473
x,19130.10000000
c,19465.34000000
Q,0.00646000
b,19464.61000000
B,0.00066000
a,19465.34000000
A,0.10567000
o,19130.10000000
h,19676.96000000
l,19101.00000000
v,240283.88491000
q,4659032557.30925810
O,1665945107254
C,1666031507254
F,1978187947
L,1983669133
n,5481187
,0
e,24hrTicker
E,1666031508256
s,BTCUSDT
p,334.74000000
P,1.750
w,19389.70107271
x,19130.07000000
c,19464.70000000
Q,0.00200000
b,19464.38000000
B,0.00100000
a,19465.18000000
A,0.10000000
o,19129.96000000
h,19676.96000000
l,19101.00000000
v,240285.39810000
q,4659062041.29573160
O,1665945108228
C,1666031508228
F,1978187962
L,1983669191
n,5481230
,0
e,24hrTicker
E,1666031772320
s,BTCUSDT
p,358.12000000
P,1.872
w,19390.08139019
x,19127.11000000
c,19485.19000000
Q,0.00122000
b,19485.18000000
B,0.03844000
a,19485.19000000
A,0.04661000
o,19127.07000000
h,19676.96000000
l,19101.00000000
v,240773.43636000
q,4668616527.61640120
O,1665945372314
C,1666031772314
F,1978194576
L,1983683393
n,5488818
,0
e,24hrTicker
E,1666031773319
s,BTCUSDT
p,358.27000000
P,1.873
w,19390.08184776
x,19127.14000000
c,19485.33000000
Q,0.00156000
